claim_id,fraud_label
CLM00001,1
CLM00002,0
CLM00003,0
CLM00004,0
CLM00005,0
CLM00006,0
CLM00007,0
CLM00008,0
CLM00009,0
CLM00010,1
CLM00011,0
CLM00012,0
CLM00013,0
CLM00014,0
CLM00015,0
CLM00016,0
CLM00017,0
CLM00018,1
CLM00019,1
CLM00020,0
CLM00021,1
CLM00022,0
CLM00023,1
CLM00024,0
CLM00025,0
CLM00026,0
CLM00027,0
CLM00028,1
CLM00029,0
CLM00030,0
CLM00031,0
CLM00032,0
CLM00033,1
CLM00034,1
CLM00035,0
CLM00036,0
CLM00037,0
CLM00038,0
CLM00039,0
CLM00040,0
CLM00041,0
CLM00042,0
CLM00043,0
CLM00044,0
CLM00045,0
CLM00046,0
CLM00047,0
CLM00048,1
CLM00049,0
CLM00050,1
CLM00051,0
CLM00052,0
CLM00053,0
CLM00054,1
CLM00055,0
CLM00056,0
CLM00057,0
CLM00058,1
CLM00059,0
CLM00060,1
CLM00061,0
CLM00062,0
CLM00063,0
CLM00064,0
CLM00065,0
CLM00066,0
CLM00067,0
CLM00068,0
CLM00069,0
CLM00070,1
CLM00071,0
CLM00072,0
CLM00073,1
CLM00074,0
CLM00075,0
CLM00076,0
CLM00077,1
CLM00078,0
CLM00079,0
CLM00080,1
CLM00081,0
CLM00082,0
CLM00083,0
CLM00084,0
CLM00085,1
CLM00086,0
CLM00087,0
CLM00088,0
CLM00089,0
CLM00090,0
CLM00091,1
CLM00092,0
CLM00093,0
CLM00094,0
CLM00095,0
CLM00096,1
CLM00097,0
CLM00098,0
CLM00099,0
CLM00100,0
CLM00101,0
CLM00102,0
CLM00103,0
CLM00104,0
CLM00105,1
CLM00106,0
CLM00107,0
CLM00108,0
CLM00109,0
CLM00110,0
CLM00111,1
CLM00112,0
CLM00113,0
CLM00114,1
CLM00115,1
CLM00116,0
CLM00117,0
CLM00118,0
CLM00119,0
CLM00120,0
CLM00121,0
CLM00122,0
CLM00123,0
CLM00124,0
CLM00125,0
CLM00126,0
CLM00127,1
CLM00128,0
CLM00129,0
CLM00130,0
CLM00131,0
CLM00132,0
CLM00133,0
CLM00134,0
CLM00135,0
CLM00136,0
CLM00137,0
CLM00138,0
CLM00139,0
CLM00140,0
CLM00141,0
CLM00142,1
CLM00143,0
CLM00144,0
CLM00145,1
CLM00146,1
CLM00147,0
CLM00148,0
CLM00149,0
CLM00150,0
CLM00151,0
CLM00152,0
CLM00153,0
CLM00154,0
CLM00155,1
CLM00156,1
CLM00157,0
CLM00158,0
CLM00159,0
CLM00160,1
CLM00161,0
CLM00162,0
CLM00163,0
CLM00164,0
CLM00165,0
CLM00166,0
CLM00167,0
CLM00168,0
CLM00169,0
CLM00170,0
CLM00171,0
CLM00172,0
CLM00173,0
CLM00174,0
CLM00175,0
CLM00176,0
CLM00177,0
CLM00178,0
CLM00179,0
CLM00180,1
CLM00181,0
CLM00182,0
CLM00183,0
CLM00184,0
CLM00185,1
CLM00186,0
CLM00187,1
CLM00188,0
CLM00189,0
CLM00190,0
CLM00191,0
CLM00192,0
CLM00193,1
CLM00194,0
CLM00195,0
CLM00196,0
CLM00197,0
CLM00198,1
CLM00199,0
CLM00200,0
CLM00201,0
CLM00202,0
CLM00203,0
CLM00204,0
CLM00205,0
CLM00206,0
CLM00207,1
CLM00208,0
CLM00209,0
CLM00210,0
CLM00211,0
CLM00212,1
CLM00213,0
CLM00214,1
CLM00215,1
CLM00216,0
CLM00217,0
CLM00218,0
CLM00219,0
CLM00220,0
CLM00221,1
CLM00222,0
CLM00223,0
CLM00224,0
CLM00225,0
CLM00226,0
CLM00227,0
CLM00228,0
CLM00229,0
CLM00230,1
CLM00231,0
CLM00232,0
CLM00233,0
CLM00234,0
CLM00235,0
CLM00236,0
CLM00237,0
CLM00238,0
CLM00239,0
CLM00240,0
CLM00241,0
CLM00242,0
CLM00243,0
CLM00244,0
CLM00245,1
CLM00246,0
CLM00247,0
CLM00248,0
CLM00249,0
CLM00250,0
CLM00251,0
CLM00252,0
CLM00253,0
CLM00254,0
CLM00255,0
CLM00256,0
CLM00257,1
CLM00258,0
CLM00259,0
CLM00260,0
CLM00261,0
CLM00262,0
CLM00263,0
CLM00264,0
CLM00265,0
CLM00266,0
CLM00267,0
CLM00268,0
CLM00269,0
CLM00270,0
CLM00271,0
CLM00272,0
CLM00273,0
CLM00274,0
CLM00275,0
CLM00276,0
CLM00277,0
CLM00278,0
CLM00279,0
CLM00280,0
CLM00281,0
CLM00282,1
CLM00283,0
CLM00284,0
CLM00285,0
CLM00286,0
CLM00287,0
CLM00288,1
CLM00289,0
CLM00290,1
CLM00291,0
CLM00292,0
CLM00293,0
CLM00294,0
CLM00295,1
CLM00296,0
CLM00297,0
CLM00298,0
CLM00299,0
CLM00300,0
CLM00301,0
CLM00302,0
CLM00303,0
CLM00304,1
CLM00305,0
CLM00306,0
CLM00307,0
CLM00308,0
CLM00309,0
CLM00310,0
CLM00311,0
CLM00312,0
CLM00313,0
CLM00314,0
CLM00315,0
CLM00316,1
CLM00317,0
CLM00318,1
CLM00319,0
CLM00320,0
